EN	CN
Saborn Rendel	萨博恩·伦达尔
Saelmur	塞尔默
Saerloon	赛尔伦
Sahbuti Shanardanda	萨哈布提·夏纳尔丹达
Sahuagin	沙华鱼人
Sahuagin Baron	沙华鱼人贵族
Sahuagin Guard	沙华鱼人守卫
Sahuagin Priest	沙华鱼人祭司
Sahuagin Raider	沙华鱼人袭击者
Saiyaddar	赛亚达
Salamander	火蜥蜴
Salamander Archer	火蜥蜴弓手
Salamander Firetail	火蜥蜴燃尾者
Salamander Lancer	火蜥蜴枪兵
Salamander Noble	火蜥蜴贵族
Salamander Spearwarden	火蜥蜴矛卫
Samarach	萨玛拉克
Sanatorium	疗养所
Sapra	赛普拉
Sarbreen	萨布林
Satisfied	满意
Satyr	半羊人
Satyr Piper	半羊人风笛手
Satyr Rake	半羊人游民
Savage Frontier, the	蛮荒边境
Savage Minotaur	狂暴牛头人
Savage North	荒野北域
Save	豁免
Savras	萨弗拉斯
Scar Alley	伤痕后街
Scar, the	伤痕(峡谷)
Scardale	伤痕谷
Scardale Town	伤痕镇
School of Wizardry	魔法学校
Scimitar Spires	弯刀峰山脉
Scion of Shadow	暗影之子
Scornubel	斯克努贝尔
Scorpion	蝎子
Scourge Warlock	灾祸巫师
scrolls	卷轴
Scyllua Darkhope	赛露尔·黯冀
Sea of Fallen Stars	坠星海
Sea of Moving Ice, the	浮冰海
Sea of Swords, the	剑海
Sea Towers, the	海洋之塔
Seal	印章
seasons	季节
Sebek	赛贝克
Secomber	西康布
Second Chance	死里逃生
Second Wind	后劲
Secondhand Dunlop	二手商 邓洛普
Seekers of the Way	道之追寻者
Segojan Earthcaller	沙苟祯˙大地唤者
Sehanine	瑟翰妮
Sehanine Moonbow	瑟翰妮˙月弓
Selgaunt	塞尔刚特
Selune	苏伦
Sel?ne's Tear	苏伦之泪
Selune's tears	苏伦之泪
Sel?ne's Tears	苏伦之泪
Selvetarm	席文塔姆
Semberholme	塞伯霍姆
Sembia	桑比亚
Sememmon	席曼蒙
Semphar	参法
Sengal	森加尔
Sense	感觉
Sergeant Blackforge	黑炉中士
Serpent Hills	毒蛇山脉
Sespech	赛斯派茨
Sessrendale	赛瑟壬谷
Set	塞特
Seven Sisters	七姐妹
Shaar, the	夏亚
Shaarmid	央夏城
Shaarwood	夏亚森林
Shadar-Kai	影灵
Shadar-kai Chainfighter	影灵刺链斗士
Shadar-kai Gloomblade	影灵幽暗之刃
Shadar-kai Warrior	影灵战士
Shadar-kai Witch	影灵女巫
Shade	阴魂城，阴魂
shades	阴魂
Shadovar	影之民
shadow adept	阴影导师
Shadow assassin	影子杀手
shadow companion	阴影随从
Shadow Den	暗影巢穴
Shadow Gap	阴影裂隙
Shadow Hound	暗影猎犬
Shadow Hulk	影巨怪
Shadow Sea	幽影海
Shadow Snake	幽影蛇
Shadow Thieves	影贼
Shadow Weave	影魔网
Shadowdale	阴影谷
Shadowfell	堕影冥界
Shadowfell Moon	堕影之月
Shadowfell Road	影界通道
Shadowhunter Bat	阴影猎手蝙蝠
Shadowkeeper	影使
Shadowkeeper's Hut	影使小屋
Shadowmasrers of Telflamm	泰夫岚姆城的阴影大师公会
Shadowraven Swarm	影鸦群
Shadowshard	暗晶
Shalanka	莎兰卡
Shambling Mound	蔓生怪
Shamph	沙菲
Shanatar	沙纳塔
Shandaular	山铎拉
Shar	莎尔
Sharandar	沙郎达
Sharawood	夏拉森林
Sharburg	莎堡
Shard of Night	夜之碎片
Sharess	夏芮丝
Shargaas	沙葛司
Sharindlar	莎琳德拉
Sharn Wall	撒伦禁壁
sharns	撒伦精怪
Shattered Sewers	破碎阴沟
Shaundakul	山达库尔
Sheela Peryroyl	席拉˙佩莉萝尔
Shevarash	薛佛拉斯
Shiallia	希昂莉亚
Shield	盾牌
Shield Dwarf	盾矮人
shield dwarves	盾矮人
Shield Guardian	盾卫者
Shieldmeet	盾会节
Shifter	半兽化人
Shilmista	席尔明斯特
Shining Plains, the	光耀平原
Shining Sea, the	光耀之海
Shining South, the	光耀南方
ships	船舶
Shoal of Thirst	干渴沙洲
Shoon	夏恩
Shoonach	夏纳契
Shrine of Sacrilege	亵渎圣祠
Shussel	夏色城
Siamorphe	赛雅茉芙
Sidekicking	并肩作战
siege tower	攻城塔
Sigil	印记城
Silvanus	希尔瓦纳斯
silver fire	银火
Silver Hills	银白山丘
Silver Marches	银月联盟
Silver Ravens, the	银鸦
Silver Tongue	银舌
Silverymoon	银月城
Simbul, the	欣布
Size	体型
Skeletal Tomb Guardian	骷髅墓穴守卫
Skeleton	骷髅
Skill	技能
Skirmisher	游击
Skuld	史卡德城
Skull Gorge	头骨峡谷
Skull Lord	骸骨领主
Skullport	头骨港
Sky Pony	天马部落
Slaad	史拉蟾
Slaad Tadpole	史拉蝌蚪
Slaughter Wight	杀戮尸妖
Slave Warrens	奴隶杂院
Sleep	睡眠
Sleeping Dragon	寐龙
Small City	小城
Small Teeth, the	碎齿山脉
Small Town	小镇
smokepowder	烟粉
Smoking Mountains	燃烟山脉
Snake	蛇
Snaketongue Assassin	蛇语刺客
Snaketongue Celebrant	蛇语神官
Snaketongue Initiate	蛇语先行者
Snaketongue Warrior	蛇语战士
Snaketongue Zealot	蛇语狂徒
Snakewood	毒蛇森林
Soldier	护卫
Solo	强者
Solonor Thelandira	索罗诺尔·杉岚德瑞
Soman Galt	索曼·加尔特
Sons of Alagondar	阿拉贡达之子
Soorenar	索瑞纳城
sorcerer class	术士
Sorrowsworn	哀誓魔
Sorrowsworn Deathlord	哀誓魔死亡领主
Sorrowsworn Reaper	哀誓魔收割者
Sorrowsworn Soulripper	哀誓魔裂魂者
Sossal	索萨尔
Soulspike Devourer	刺魂囚魂魔
Southern Lluirwood	南落叶林
Southkrypt	南克利普特
Specter	幽灵
Spectral Panther	影豹
Speed	移动速度
spellfire	咒火
Spellgard	咒文堡垒
Spellplague	魔法瘟疫
Spellplague Caverns	法疫洞窟
Spellscarred Harbinger	法痕先驱
Spellstorm mage	魔风法师
Sphinx	狮身人面兽
Spider	蜘蛛
Spider Swamp	蜘蛛沼泽
Spiderhaunt Woods	蛛巢森林
Spider-kissers (drow)	吻蛛者（卓尔精灵）
Spine of the World	世界之脊
Spined devil(Spinagon)	针刺魔(斯帕尼格魔)
Spiretop Drake	尖顶龙兽
Spirit Devourer	夺魄囚魂魔
Spitting Drake	喷吐龙兽
Spy Catching	抓捕间谍
Spycatcher	捕谍者
Sschindylryn	斯琴达莱恩城
Sshamath	沙玛斯城
Staff	法杖
Stance	状态
Stand Your Ground	脚踏实地
standard action	标准动作
Standing Stone	立石
Star Mounts	星幕山
Starmantle	星幕市
Starspire Mountains	星旋山脉
Stats	数值
Stealth	隐秘
Still Waters	静水泽
Stirge	蚊蝠
Stirge Swarm	蚊蝠群
Stone Bridge, the	石桥
Stone Golem	石魔像
Stone-Eye Basilisk	邪眼蜥怪
Stonelands	岩地
Storm Giant	风暴巨人
Storm Gorgon	风暴石化牛
Storm Horns	风暴角
Storm Silverhand	风暴·银手
Storm Titan	风暴泰坦
Stormcaller	呼风者
Stormclaw Scorpion	风暴爪蝎
Stormrage Shambler	风暴蔓生怪
Stormwarden	风暴守卫者
Strait of Storms	暴风地峡
Streetwise	市井
Strength	力量
Striker	打击者
strongheart halflings	壮心半身人
Succubus	魅魔
Suldolphor	苏尔多佛尔
Sumbrar	森博拉岛
Sun Elf	日精灵
sun elves	日精灵
Sundabar	桑达巴
Sune	淑妮
Sunmaster	日曜大师
Sunrise Mountains	日出山脉
Supernal	天界语
Surcross	瑟克洛斯
Surkh	苏克
Surmarsh	苏尔沼泽
Surthay	薛塞尔省
Sustain	维持
Suzail	苏萨尔
svirfneblin	地底侏儒
Swamp of Akhlaur	亚克劳沼泽
Swamped Docks	湮没码头
Sword Coast	剑湾
Sword Coast North	剑湾北部
Sword Coast, the	剑湾
Sword marshal	掌剑官
Sword Mountains	剑山
Sword Wraith	利剑缚灵
Sword, the	剑漠地区
Swordmaster	剑术大师
Swordpoint	宝剑要塞
Swordwing	剑翅螳
Symphony of Madness	疯狂交响
Sythillisian Empire	塞希里珊王国
Szass Tam	萨扎斯·坦
Tactical Warlord	战术督军
Talagbar	塔拉格巴
Talgath	塔尔加斯
Talona	塔洛娜
Talos	塔洛斯
Tammar	泰玛尔
tanar'ri	塔那魔
Tangled Trees	纠结之树
Tangler Beetle	粘沫甲虫
Tannath Mountains	坦纳斯山脉
Tantras	坦瑞斯
Target	目标
Tarmalune	塔玛伦
Tarmalune Trade House	塔玛伦交易所
Tarrasque	泰拉斯奎
Tashalar	塔沙拉尔
Tashluta	塔斯鲁塔
Tasseldale	塔瑟谷
Tchazzar	察斯萨
Tears of Selune	苏伦之泪
Tegal's Mark	特加尔的标记
Teleport	传送
Teleportation	瞬移
Telflamm	泰夫岚姆
Temple of Filth	污秽神庙
Temple of Leaves	绿叶神庙
Temple of Lolth	罗丝神庙
Temple of the Splendor	无尽光辉神殿
Temple of Splendors	无尽光辉神殿
Tempus	坦帕斯
terrain	地形
Teshendale	特森谷
Teshwave	泰斯威
Tethyamar	泰瑟亚玛
Tethyr	泰瑟尔
Teziir	泰席尔
Thamros	萨姆洛斯
Thann	萨恩
Thar	萨尔
Tharch	省
Tharchion	省督
Thard Harr	萨德·哈尔
Tharizdun	萨瑞兹顿
Thauglor	撒格罗
Thay	赛尔
Thayan	赛尔人，赛尔的
Thayan Outpost	赛尔哨站
Thaymount	塞尔山脉
Thazalhar	萨扎哈省
The Axe of the Dwarvish Lords	矮人王圣斧
the Barracks	军营
the Brewery	酿酒厂
The Chasm	大裂谷
The Collapse	大塌陷
The Crags	峭壁山脉
the Crypts	墓穴
The Eye of Vecna	维克那法眼
the Forge	车间
The Great hall of Moradin	摩拉丁神殿
The Hand of Vecna	维克那魔掌
The Invulnerable Coat of Arnd	昂德的无敌战衣
The Keep	要塞
The Summons	显灵
Thentia	森提亚
Theocracy	神权政体
Theratra	特拉塔
Theryis	赛瑞伊斯
Thesk	赛斯克
Thesk Mountains	赛斯克山脉
Thievery	盗术
Thindol	廷朵尔
Thornwood	荆棘林
Thorp	聚落
Thoth	索斯
Thrax	斯拉克斯
Three Rivers Land	三河之地
Threskel	色雷斯凯地区
Throne of Idris	伊德瑞斯王座
Thruldar	特鲁达
Thultanthar	苏坦萨尔
Thunder	雷鸣
Thunder Blessing	雷鸣祝福
Thunder Peaks	雷鸣峰
Thunder Way	雷鸣之道
Thunderblast Cyclone	雷暴龙卷风
Thunderfury Boar	雷怒野猪
Thunderhawk	雷鹰
Thunderstone	雷石镇
Thundertree	雷树镇
Tiamat	提娅玛特
Tiefling	泰夫林
Tiefling Darkblade	泰夫林暗刃
Tiefling Heretic	泰夫林异教徒
Tier	层级
Tilverton	提凡顿
time	时间
Time of Troubles	动荡时代
timekeeping	时间纪录
Titan	泰坦
Tomb of the Archmage	大法师之墓
Tombstone	墓碑塔
Toram	托兰
Toril	托瑞尔
Torlgar	托尔加
Torm	托姆
Tormenting Ghost	戾魂
Torog	托罗格
Tortured Land, the	苦痛之地
Torunedar	托伦达
Totem Pit	图腾坑
Tower District	高塔区
Tower of the Mythallar	密瑟能核塔
Tower of Twilight	夕暮之塔
Tower Threespires	三尖塔
Trackless Sea, the	无痕之海
trade	贸易
Trade Road	贸易道路
Trailsend	尾迹城
Trained Skill	受训技能
Trait	特性
Trance	冥想
Transmutation	融合
Transmute	融合
Trap Haunt	地缚灵
travel	旅行
Traven Blackdagger	特拉文·黑刃
Treant	树人
tressym	翼猫
Tribal or Clan	部落或氏族
Trickster Rogue	诡术盗贼
Troglodyte	战蜥人
Troglodyte Curse Chanter	战蜥人咒吟者
Troglodyte Impaler	战蜥人穿刺者
Troglodyte Mauler	战蜥人锤击者
Troglodyte Warrior	战蜥人战士
Troll	巨魔
Troll Hills	巨魔山
Troll Mountains	巨魔山区
Trollbark Forest	巨魔咆哮森林
Trollclaw Ford	巨魔之爪滩
Trollclaws	巨魔之爪
Tsurlagol	特苏拉格
Tuigan horde	图坎部落
Turmish	突米斯
Twisted Fane	扭曲寺院
Twisted Rune	纠缠符记会
Twisted Tower	扭曲塔
Two-Blade Ranger	双刀游侠
Tymora	泰摩拉
Tyr	提尔
Tyraturos	提万特罗司省
Tytherion	泰瑟瑞
Ubtao	乌塔欧
Ukulsid	乌库尔希德
Ulrukan	乌尔鲁坎
Ulutiu	乌鲁提尤
Uluu Thalongh, the	乌鲁·塔隆
Umber Hulk	土巨怪
Umber Marshes	茶色湿地
Umberlee	安博里
Unaligned	中立
Unapproachable East, the	绝境东域
Undead	不死
Undead Pirate Hexer	不死海盗巫师
Underdark	幽暗地域
Underdark, the	幽暗地域
Underhome	深居城
Undermountain	地脉迷城
Underscar	伤痕深渊
Unicorn	独角兽
Unicorn Run	独角兽之流
Unquenchable Flame	不灭之焰
Unsatisfied	不满
Unthalass	恩瑟拉斯城
Unther	恩瑟
Upland Rise	丘陵坡地
Upper Reach	裂谷上端
Urdlen	乌德伦（神祇）
Urlingwood	幽林之森
Urmlaspyr	乌拉斯皮尔
Urogalan	尤拉格兰恩（神祇）
Ursuntos	厄尔宋托斯
Ustilagor	噬脑怪幼虫
Ustiligor (wrong)	噬脑怪幼虫
Uthgar	乌斯加
Uthgardt Barbarian	乌斯加特野蛮人
Uthgardt barbarians	乌斯加特野蛮人
Uthmere	乌斯梅尔
Utility	辅助（威能）
Vaasa	瓦萨
Vaasan Gate	瓦萨之门
Vagdru One-Ear	瓦格诸·单耳
Vale of Lost Voices	失音谷
Valindra Shadowmantle	瓦琳达·影幔
Valindra's Sanctum	瓦琳达密室
Valkur	维尔寇
Valley of Lost Honor	失落荣耀之村
Vampire	吸血鬼
Vampire Lord	吸血鬼首领
Vampire Spawn Bloodhunter	吸血衍体·血之狩猎者
Vampire Spawn Fleshripper	吸血衍体·血肉撕裂者
Vandra Hillborn	凡达·丘生
Vanity	便服
Vansi Bloodscar	樊西·血痕
Var the Golden	黄金瓦尔
Vast Swamp	广泽
Vast, the	瀚土
Vault of Horrors	恐怖地穴
Vault of the Nine	九卫之墓
Vecna	维克那
Veil	幕障
Velarswood	维拉斯森林
Veldorn	维多
Velen	威伦
Velen peninsula	威伦半岛
Vellgard Manor	维尔加德庄园
Vellosk	维罗斯克
Velprintalar	威普林塔拉
Velsharoon	维沙隆
Venom-Eye Basilisk	毒眼蜥怪
Vergadain	维加丁
Vesper Soulhearth	维斯帕·魂炉
Vhaeraun	维瑞雯
Vilhon Reach	维洪海域
Village	乡村
Village of the Mad Druid	疯癫德鲁伊之村
Vine Horror	恐惧之藤
Vine Horror Spellfiend	法曲恐惧之藤
Viscera Devourer	抽肠囚魂魔
Visejaw Crocodile	钳吻鳄
Vision	视觉
Voidsoul Specter	空魂幽灵
Voonlar	福恩拉
Voracious Nobility	贪婪厢房
Vrock	弗洛魔
Vynnia	文尼亚
Wailing Death	哭嚎之死
Wailing Ghost	悲泣幽魂
Banshee	女妖
Wall of Crypts	墓室之墙
Walls of Halruaa, the	哈鲁阿之壁
Wand	魔杖
War devil(Malebranche)	战魔（马勒伯朗斯）
War Troll	战争巨魔
War Wizard	战斗法师
Warforged	机关人
Warforged Captain	机关人指挥官
Warforged Soldier	机关人士兵
Warhorse	战马
Warlock	邪术师
Warlock's Crypt	邪术师之墓
Warlord	督军
Warpriest	战争祭司
Warrens	兽巢
Warriors' Crypt	战士之墓
Warthorn Battlebriar	战地荆棘石楠
Watcher of Castle Never	无冬监视者
Watcher's Forest	守护者之林
Waterclock Crypts	水钟墓穴
Waterclock Guild	水钟行会
Waterdeep	深水城
Waukeen	渥金
Waymoot	道谈镇
Wealdath, the	维尔达斯森林
wealth and privilege	财富和特权
weapons	武器
Weaponsmithing	铁匠
Weave, the	魔网
Web of Stone	岩石之网
Web-Strewn Spires	蛛网塔楼
Weight	体重
Well of Bones	骸骨之井
Well of Dragons	龙之井
Wererat	鼠人
Werewolf	狼人
Werewolf Burrows	狼人地洞
Western Heartlands	西哈特兰德
Westgate	西门
Wetwoods	潮湿沼泽
Wheloon	淮伦市
Whispering Caverns	微语洞窟
Whisper's Crypt	轻语者墓穴
White Dragon	白龙
White Ford	白滩
White Kingdom	白色王国
Wight	尸妖
Wild Coast	荒芜海岸
Wild Elf	野精灵
wild elves	野精灵
Wild Hunt Hound	荒野猎犬
wild magic	野魔法
Wild Step	荒野步伐
Winding Water	蜿蜒河
Wineflow	酒河
Winged Wyvern	飞龙
Winterclaw Owlbear	冬爪枭熊
Winterforge	寒冬熔炉
Winterkeep	冬堡
Winterwood	冬之森
Wisdom	感知
wizard class	法师
Wizard of the Spiral Tower	旋塔法师
Wolf	狼
Womb of Stone	岩石孕宫
Wood Elf	木精灵
wood elves	木精灵
Wood of Sharp Teeth	利齿森林
Worg	座狼
Workshop	作坊
Wraith	缚灵
Writhing Walls	剧痛之墙
Wyvern	翼龙
Wyvernfang	翼龙尖牙
Wyvernwater	翼龙湖
Xalbyn	萨尔宾
Xanathar's Guild, the	埃克斯那萨公会
Xinlenal	辛莱纳
Xinlenal's Heart	辛莱纳之心
XP	经验值
Xxiphu	西弗
Yeenoghu	伊诺胡
Yellow Rose (monk order)	黄玫瑰武僧会
Yellow Snake Pass	黄蛇隘口
Yevenwood	耶汶森林
Yhaunn	叶弘
Yhep	亚普
Ylraphon	伊尔拉弗恩
Yondalla	悠达拉
Young Black Dragon	青年黑龙
Young Blue Dragon	青年蓝龙
Yuan-ti	蛇人
Yuan-ti Abomination	蛇人憎恶者
Yuan-ti Anathema	蛇人咒逐者
Yuan-ti Malison Disciple of Zehir	蛇人泽希尔信徒
Yuan-ti Malison Incanter	蛇人咒术师
Yuan-ti Malison Sharp-eye	蛇人诅咒者
Yuirwood	攸木林
Yulash	俞拉斯
Yurtrus	尤卓斯
Zakhara	扎卡拉
Zazesspur	扎泽司泊
Zehir	泽希尔
Zhentarim	散塔林会
Zhentil Keep	散提尔堡
Zombie	僵尸
Zombie Hulk	僵尸巨汉
Zombie Rotter	腐肉僵尸
Zone	结界
Zulkir	法王
Zulkir's Chamber	法王之间
Drizzt Do'Urden	崔斯特·杜垩登
Zaknafein Do'Urden	扎克纳梵·杜垩登
Jalynfein	雅林梵
Tos'un Armgo	托斯恩·阿姆戈
Liriel Baenre	丽芮尔·班瑞
Qilué Veladorn	葵露˙维拉多伦
Fey	精类，妖精
humanoid	类人生物
Tel-quessir	（精灵语）特尔-奎希尔
Darkvision	黑暗视觉
Dragon Coast, The	巨龙海岸
East Rift, the	东部裂隙
Cormanthor Forest	科曼索森林
Drow Sign Language	卓尔手语
Spider Queen	蜘蛛女王
Globe of Darkness	黑暗结界
faerie fire	妖火
curseborn	诅咒暗裔
Darthiir	达斯尔
Seldarine	席尔德琳
rothé	罗思（山谷）
deep dragon	地底龙
rapier	细剑
mithral	秘银
hand crossbow	手弩
slumber potion	昏睡毒药
house defense glyph	护宅魔符
way-marker glyph	路标魔符
sacred glyph	神圣魔符
piwafwi	魔斗篷
drow house insignia	卓尔家族徽记
levitation	飞升
Dark Seldarine	黑暗席尔德琳
sword spider	剑刃蜘蛛
cavvekan	洞穴犬
bebilith	狩魔蛛
myrlochar	噬魂蛛
retriever	巡猎蛛
Dark Elf	黑暗精灵
Ilythiir	伊力斯瑞
Ssri-tel-quessir	（精灵语）斯瑞-特尔-奎希尔
Araushnee	艾罗希涅
First Crown War	第一次皇冠战争
Shantel Othreier	桑塔?欧斯瑞尔
Fourth Crown War	第四次皇冠战争
Wendonai	温多奈
dhaerow	（精灵语）戴洛尔
Dark Disaster	黑暗之灾
Third Crown War	第三次皇冠战争
Aryvandaar	艾瑞凡达
Vyshaantar	维香塔
Descent	入地
Bhaerynden	巴伦顿
Telantiwar	塔伦提瓦
Great Rift	大裂隙
Scattering	大分裂
Ched Nasad	契德·纳撒城
The Ones Who Went Below	下去的家伙们
Elvish	精灵语
Chaulssin	查尔森城
Undercommon	地底通用语
Dyon G'ennivalz	迪昂·格尼瓦尔兹城
Eryndlyn	艾瑞德林
Maerimydra	玛瑞莫达
Lifespan	寿命
Patron Deity	守护神
Ust Natha	乌斯·纳萨城
	
